ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	type	parent class	is about	sort as
ID	AL rdfs:label@en	AL obo:IAO_0000111@en	AI obo:IAO_0000114	AL obo:IAO_0000118@en SPLIT=|	AL obo:IAO_0000115@en SPLIT=|	A obo:IAO_0000119 SPLIT=|	AL obo:IAO_0000112@en SPLIT=|	A obo:IAO_0000117 SPLIT=,	AL obo:IAO_0000116@en SPLIT=|	AL obo:IAO_0000232@en SPLIT=|	A obo:IAO_0000234	A obo:IAO_0000233	CLASS_TYPE	TYPE	C %	C ‘is about’ %	C ‘sort as’ %
phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalPhaseLabel	Categorical label abot a phase of degradation of pubic symphysis degradation in specimens of indeterminate sex				A distinct phase in the degradation of the pubic symphysis in specimens of indeterminate sex that is defined by morphological description.	Felix Engel		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""					subclass		sb:PubicSymphysisMorphologicalPhase		
phaleron-ae:IndeterminateSexPhase1	Phase I	Phase I for specimens of indeterminate sex			Symphyseal face has a billowing surface (ridges and furrows) which usually extends to include the pubic tubercle. The horizontal ridges are well-marked and ventral beveling may be commencing. Although ossific nodules may occur on the upper extremity, a key to the recognition of this phase is the lack of delimitation of either extremity (upper or lower). Also confer to the plaster cast corresponding to this phase as shown in Brooks & Suchey (1990, Fig.3).	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.|The definition is identical with the ones of the corresponding phases for males and females but, unlike with those, there are no plaster casts that apply for specimens of indeterminat sex.					phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalPhaseLabel			
phaleron-ae:IndeterminateSexPhase2	Phase II	Phase II for specimens of indeterminate sex			The symphyseal face may still show ridge development. The face has commencing delimitation of lower and/or upper extremities occurring with or without ossific nodules. The ventral rampart may be in beginning phases as an extension of the bony activity at either or both extremities. Also confer to the plaster cast corresponding to this phase as shown in Brooks & Suchey (1990, Fig.3).	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.|The definition is identical with the ones of the corresponding phases for males and females but, unlike with those, there are no plaster casts that apply for specimens of indeterminat sex.					phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalPhaseLabel			
phaleron-ae:IndeterminateSexPhase3	Phase III	Phase III for specimens of indeterminate sex			Symphyseal face shows lower extremity and ventral rampart in process ofcompletion. There can be a continuation of fusing ossific nodules forming the upper extremity and along the ventral border. Symphyseal face is smooth or can continue to show distinct ridges. Dorsal plateau is complete. Absence of lipping of symphyseal dorsal margin; no bony ligamentous outgrowths. Also confer to the plaster cast corresponding to this phase as shown in Brooks & Suchey (1990, Fig.3).	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.|The definition is identical with the ones of the corresponding phases for males and females but, unlike with those, there are no plaster casts that apply for specimens of indeterminat sex.					phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalPhaseLabel			
phaleron-ae:IndeterminateSexPhase4	Phase IV	Phase IV for specimens of indeterminate sex			Symphyseal face is generally fine grained although remnants of the old ridge and furrow system may still remain. Usually the oval outline is complete at this stage, but a hiatus can occur in upper ventral rim. Pubic tubercle is fully separated from the symphyseal face by definition of upper extremity. The symphyseal face may have a distinct rim. Ventrally, bony ligamentous outgrowths may occur on inferior portion of pubic bone adjacent to symphyseal face. If any lipping occurs it will be slight and located on the dorsal border. Also confer to the plaster cast corresponding to this phase as shown in Brooks & Suchey (1990, Fig.3).	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.|The definition is identical with the ones of the corresponding phases for males and females but, unlike with those, there are no plaster casts that apply for specimens of indeterminat sex.					phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalPhaseLabel			
phaleron-ae:IndeterminateSexPhase5	Phase V	Phase V for specimens of indeterminate sex			Symphyseal face is completely rimmed with some slight depression of the face itself, relative to the rim. Moderate lipping is usually found on the dorsal border with more prominent ligamentous outgrowths on the ventral border. There is little or no rim erosion. Breakdown may occur on superior ventral border. Also confer to the plaster cast corresponding to this phase as shown in Brooks & Suchey (1990, Fig.3).	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.|The definition is identical with the ones of the corresponding phases for males and females but, unlike with those, there are no plaster casts that apply for specimens of indeterminat sex.					phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalPhaseLabel			
phaleron-ae:IndeterminateSexPhase6	Phase VI	Phase VI for specimens of indeterminate sex			Symphyseal face may show ongoing depression as rim erodes. Ventral ligamentous attachments are marked. In many individuals the pubic tubercle appears as a separate bony knob. The face may be pitted or porous, giving an appearance of disfigurement with the ongoing process of erratic ossification. Crenulations may occur. The shape of the face is often irregular at this stage.	Brooks, S., & Suchey, J. M. (1990). Skeletal age determination based on the os pubis: a comparison of the Acsádi- Nemeskéri and Suchey-Brooks methods. Human Evolution 5(3), 227-238 . doi:10.1007/BF02437238		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""	In the original source, the definition contains highlighting by means of italics which is omitted, here.|The definition is identical with the ones of the corresponding phases for males and females but, unlike with those, there are no plaster casts that apply for specimens of indeterminat sex.					phaleron-ae:IndeterminateSexPubicSymphysisMorphologicalPhaseLabel			
phaleron-ae:AgeCategoryLabel	Categorical label about an age category				A categorical label denoting a defined range of age values.	Felix Engel		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""					subclass		obo:OBI_0000963		
phaleron-ae:AdultAgeCategoryLabel	Categorical label about an adult age category				A categorical label denoting a defined range of adult age values.	Felix Engel		"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""					subclass		phaleron-ae:AgeCategoryLabel		
phaleron-ae:YoungAdultAgeCategory	Young adult = 18-34 years				A categorical label denoting young adult age, defined between 18 and 34 years.			"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""						phaleron-ae:AdultAgeCategoryLabel			
phaleron-ae:YoungMiddleAdultAgeCategory	Young-middle adult = 20-49 years				A categorical label denoting young to middle adult age, defined between 20 and 49 years.			"https://orcid.org/0009-0008-3871-9762 ""Felix Engel"""						phaleron-ae:AdultAgeCategoryLabel			
